"College of Agriculture & Life Sciences","","","","","","","","",""
"Business","Master","13","$56,462.00","$87,000.00","$30,000.00","+/- 17840","$46,000.00","$55,000.00","$70,000.00"
"Business Admin-Executive Prog","Master","8","$202,375.00","$300,000.00","$125,000.00","+/- 81885","$140,000.00","$160,000.00","$300,000.00"
"Business Admin-Professional Pg","Master","2","$113,500.00","$130,000.00","$97,000.00","+/- 23335","$113,500.00","$113,500.00","$130,000.00"
"Business Honors","Bachelor","17","$59,153.00","$77,500.00","$27,500.00","+/- 12525","$55,000.00","$56,000.00","$69,500.00"
"Finance","Bachelor","73","$56,362.00","$85,000.00","$40,000.00","+/- 10310","$50,000.00","$56,000.00","$64,750.00"
"Finance","Master","8","$67,550.00","$75,000.00","$60,000.00","+/- 5261","$65,000.00","$67,500.00","$73,000.00"
"Financial Management","Master","12","$66,917.00","$85,000.00","$53,000.00","+/- 13026","$56,000.00","$63,250.00","$85,000.00"
"Financial Management-PPA","Master","25","$59,600.00","$80,000.00","$50,000.00","+/- 8446","$55,500.00","$56,000.00","$62,875.00"
"Land Economics & Real Estate","Master","3","$61,667.00","$70,000.00","$55,000.00","+/- 7638","$58,750.00","$60,000.00","$70,000.00"
"Management","Bachelor","37","$47,946.00","$72,500.00","$30,000.00","+/- 10995","$40,500.00","$47,000.00","$54,625.00"
"Management Information Systems","Bachelor","15","$57,767.00","$70,000.00","$39,000.00","+/- 8512","$55,000.00","$60,000.00","$64,250.00"
"Management Information Systems","Master","33","$84,153.00","$140,000.00","$49,000.00","+/- 18494","$72,000.00","$78,000.00","$96,937.50"
"Management Information Systems-PPA","Master","22","$58,386.00","$64,000.00","$55,000.00","+/- 2410","$57,000.00","$58,000.00","$60,000.00"
"Management-PPA","Master","6","$58,667.00","$70,000.00","$55,000.00","+/- 5845","$55,500.00","$55,750.00","$65,000.00"
"Marketing","Bachelor","49","$48,696.00","$72,500.00","$30,000.00","+/- 9806","$45,000.00","$50,000.00","$54,069.00"
"Marketing","Master","4","$78,250.00","$100,000.00","$60,000.00","+/- 17858","$68,000.00","$76,500.00","$100,000.00"
"Marketing-PPA","Master","9","$63,389.00","$80,000.00","$55,500.00","+/- 10157","$55,625.00","$59,000.00","$75,000.00"
"Supply Chain Management","Bachelor","60","$57,025.00","$79,000.00","$31,000.00","+/- 9890","$50,500.00","$57,500.00","$64,000.00"
"University Studies","Bachelor","25","$52,831.00","$150,000.00","$25,000.00","+/- 23709","$42,250.00","$50,000.00","$55,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","287","$53,741.00","$150,000.00","$24,000.00","+/- 12630","$47,000.00","$52,000.00","$60,000.00"
"Master","","230","$68,135.00","$300,000.00","$30,000.00","+/- 32713","$55,500.00","$56,500.00","$70,000.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Nursing","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Nursing","Bachelor","51","$54,895.00","$78,000.00","$40,000.00","+/- 8637","$50,000.00","$52,000.00","$60,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","51","$54,895.00","$78,000.00","$40,000.00","+/- 8637","$50,000.00","$52,000.00","$60,000.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Public Health","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Environmental Health","Master","2","$55,000.00","$65,000.00","$45,000.00","+/- 14142","$55,000.00","$55,000.00","$65,000.00"
"Health Administration","Master","3","$51,667.00","$63,000.00","$42,000.00","+/- 10599","$48,000.00","$50,000.00","$63,000.00"
"Health Policy & Management","Master","3","$61,833.00","$72,000.00","$56,000.00","+/- 8836","$57,125.00","$57,500.00","$72,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Master","","8","$56,312.00","$72,000.00","$42,000.00","+/- 10285","$50,000.00","$56,750.00","$65,000.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Qatar Campus","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Chemical Engineering","Bachelor","1","$50,000.00","$50,000.00","$50,000.00","+/- 0","$50,000.00","$50,000.00","$50,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","1","$50,000.00","$50,000.00","$50,000.00","+/- 0","$50,000.00","$50,000.00","$50,000.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Science","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Analytics","Master","3","$253,333.00","$340,000.00","$120,000.00","+/- 117189","$255,000.00","$300,000.00","$340,000.00"
"Applied Mathematical Sciences","Bachelor","16","$56,361.00","$103,000.00","$24,000.00","+/- 17539","$50,000.00","$55,000.00","$66,000.00"
"Biology","Bachelor","7","$48,571.00","$80,000.00","$25,000.00","+/- 17962","$38,750.00","$50,000.00","$65,000.00"
"Chemistry","Bachelor","7","$46,754.00","$70,000.00","$24,000.00","+/- 17009","$37,000.00","$51,276.00","$64,000.00"
"Chemistry","Doctorate","2","$90,000.00","$120,000.00","$60,000.00","+/- 42426","$90,000.00","$90,000.00","$120,000.00"
"Mathematics","Bachelor","10","$48,620.00","$89,000.00","$22,000.00","+/- 17668","$43,250.00","$50,300.00","$53,050.00"
"Mathematics","Master","3","$45,333.00","$63,000.00","$24,000.00","+/- 19757","$42,750.00","$49,000.00","$63,000.00"
"Microbiology","Bachelor","1","$51,276.00","$51,276.00","$51,276.00","+/- 0","$51,276.00","$51,276.00","$51,276.00"
"Physics","Doctorate","2","$68,250.00","$94,000.00","$42,500.00","+/- 36416","$68,250.00","$68,250.00","$94,000.00"
"University Studies","Bachelor","2","$48,500.00","$52,000.00","$45,000.00","+/- 4950","$48,500.00","$48,500.00","$52,000.00"
"Zoology","Bachelor","1","$30,000.00","$30,000.00","$30,000.00","+/- 0","$30,000.00","$30,000.00","$30,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","44","$50,762.00","$103,000.00","$22,000.00","+/- 16882","$40,000.00","$51,276.00","$60,000.00"
"Master","","6","$149,333.00","$340,000.00","$24,000.00","+/- 136487","$56,000.00","$91,500.00","$320,000.00"
"Doctorate","","4","$79,125.00","$120,000.00","$42,500.00","+/- 34637","$60,000.00","$77,000.00","$120,000.00"
"College of Veterinary Med & Biomedical Sc","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
